27/11/2023 10:23:50 am
Time(s)	Displacement(mm) Force(N)
62.2002	50.0000	0.7227
62.3004	50.0000	0.7227
62.4005	50.0000	0.7212
62.5001	50.0000	0.7219
62.6005	50.0000	0.7224
62.7003	50.0000	0.7217
62.8006	50.0000	0.7233
62.9014	50.0000	0.7229
63.0013	50.0000	0.7240
63.1012	50.0000	0.7221
63.2015	50.0000	0.7218
63.3015	50.0000	0.7223
63.4010	50.0000	0.7205
63.5013	50.0000	0.7225
63.6008	50.0000	0.7239
63.7008	50.0000	0.7218
63.8007	50.0000	0.7245
63.9006	50.0000	0.7226
64.0016	50.0000	0.7235
64.1023	50.0000	0.7209
64.2020	50.0000	0.7245
64.3025	50.0000	0.7247
64.4025	50.0000	0.7213
64.5025	50.0000	0.7224
64.6026	50.0000	0.7229
64.7025	50.0000	0.7228
64.8022	50.0000	0.7224
64.9025	50.0000	0.7231
65.0026	50.0000	0.7236
65.1025	50.0000	0.7225
65.2025	50.0000	0.7224
65.3022	50.0000	0.7220
65.4025	50.0000	0.7216
65.5025	50.0000	0.7237
65.6025	50.0000	0.7215
65.7024	50.0000	0.7221
65.8026	50.0000	0.7204
65.9046	50.0000	0.7209
66.0044	50.0000	0.7227
66.1041	50.0000	0.7214
66.2037	50.0000	0.7210
66.3051	50.0000	0.7228
66.4047	50.0000	0.7206
66.5050	50.0000	0.7228
66.6048	50.0000	0.7232
66.7048	50.0000	0.7206
66.8063	50.0000	0.7225
66.9069	50.0000	0.7235
67.0074	50.0000	0.7213
67.1070	50.0000	0.7234
67.2072	50.0000	0.7214
67.3070	50.0000	0.7222
67.4072	50.0000	0.7230
67.5070	50.0000	0.7212
67.6069	50.0000	0.7231
67.7074	50.0000	0.7228
67.8071	50.0000	0.7227
67.9078	50.0000	0.7212
68.0078	50.0000	0.7220
68.1091	50.0000	0.7221
68.2093	50.0000	0.7213
68.3095	50.0000	0.7228
68.4098	50.0000	0.7226
68.5101	50.0000	0.7214
68.6107	50.0000	0.7195
68.7114	50.0000	0.7216
68.8107	50.0000	0.7221
68.9110	50.0000	0.7228
69.0111	50.0000	0.7223
69.1109	50.0000	0.7222
69.2111	50.0000	0.7226
69.3115	50.0000	0.7225
69.4116	50.0000	0.7222
69.5110	50.0000	0.7208
69.6109	50.0000	0.7222
69.7113	50.0000	0.7201
69.8107	50.0000	0.7204
69.9111	50.0000	0.7220
70.0118	50.0000	0.7206
70.1126	50.0000	0.7231
70.2126	50.0000	0.7205
70.3126	50.0000	0.7203
70.4125	50.0000	0.7218
70.5126	50.0000	0.7206
70.6145	50.0000	0.7226
70.7143	50.0000	0.7205
70.8140	50.0000	0.7217
70.9154	50.0000	0.7229
71.0147	50.0000	0.7221
71.1147	50.0000	0.7223
71.2148	50.0000	0.7220
71.3158	50.0000	0.7234
71.4160	50.0000	0.7231
71.5163	50.0000	0.7225
71.6173	50.0000	0.7232
71.7176	50.0000	0.7203
71.8172	50.0000	0.7215
71.9172	50.0000	0.7226
72.0176	50.0000	0.7215
72.1179	50.0000	0.7208
72.2184	50.0000	0.7219
72.3193	50.0000	0.7219
72.4194	50.0000	0.7232
72.5194	50.0000	0.7223
72.6192	50.0000	0.7225
72.7193	50.0000	0.7238
72.8196	50.0000	0.7223
72.9198	50.0000	0.7223
73.0204	50.0000	0.7211
73.1206	50.0000	0.7203
73.2206	50.0000	0.7208
73.3205	50.0000	0.7199
73.4204	50.0000	0.7220
73.5205	50.0000	0.7242
73.6205	50.0000	0.7234
73.7205	50.0000	0.7215
73.8202	50.0000	0.7226
73.9204	50.0000	0.7205
74.0215	50.0000	0.7218
74.1216	50.0000	0.7204
74.2215	50.0000	0.7208
74.3215	50.0000	0.7216
74.4211	50.0000	0.7219
74.5219	50.0000	0.7218
74.6221	50.0000	0.7210
74.7222	50.0000	0.7206
74.8223	50.0000	0.7211
74.9220	50.0000	0.7222
75.0226	50.0000	0.7202
75.1222	50.0000	0.7229
75.2226	50.0000	0.7198
75.3219	50.0000	0.7202
75.4220	50.0000	0.7227
75.5231	50.0000	0.7201
75.6247	50.0000	0.7234
75.7247	50.0000	0.7227
75.8250	50.0000	0.7221
75.9250	50.0000	0.7202
76.0249	50.0000	0.7226
76.1259	50.0000	0.7216
76.2276	50.0000	0.7207
76.3269	50.0000	0.7227
76.4269	50.0000	0.7209
76.5273	50.0000	0.7219
76.6271	50.0000	0.7218
76.7267	50.0000	0.7224
76.8268	50.0000	0.7205
76.9276	50.0000	0.7233
77.0278	50.0000	0.7204
77.1287	50.0000	0.7199
77.2298	50.0000	0.7225
77.3300	50.0000	0.7225
77.4297	50.0000	0.7226
77.5305	50.0000	0.7208
77.6302	50.0000	0.7221
77.7302	50.0000	0.7201
77.8306	50.0000	0.7230
77.9300	50.0000	0.7204
78.0303	50.0000	0.7236
78.1306	50.0000	0.7202
78.2298	50.0000	0.7205
78.3307	50.0000	0.7219
78.4317	50.0000	0.7202
78.5313	50.0000	0.7211
78.6312	50.0000	0.7240
78.7314	50.0000	0.7234
78.8312	50.0000	0.7214
78.9310	50.0000	0.7230
79.0310	50.0000	0.7227
79.1308	50.0000	0.7210
79.2319	50.0000	0.7201
79.3323	50.0000	0.7234
79.4323	50.0000	0.7225
79.5325	50.0000	0.7221
79.6326	50.0000	0.7206
79.7325	50.0000	0.7234
79.8327	50.0000	0.7199
79.9326	50.0000	0.7201
80.0320	50.0000	0.7216
80.1327	50.0000	0.7201
80.2318	50.0000	0.7229
80.3326	50.0000	0.7189
80.4326	50.0000	0.7219
80.5322	50.0000	0.7222
80.6327	50.0000	0.7215
80.7345	50.0000	0.7210
80.8345	50.0000	0.7227
80.9343	50.0000	0.7221
81.0341	50.0000	0.7190
81.1342	50.0000	0.7219
81.2342	50.0000	0.7208
81.3346	50.0000	0.7202
81.4342	50.0000	0.7200
81.5347	50.0000	0.7204
81.6342	50.0000	0.7205
81.7338	50.0000	0.7222
81.8346	50.0000	0.7193
81.9341	50.0000	0.7201
82.0355	50.0000	0.7216
82.1358	50.0000	0.7197
82.2377	50.0000	0.7195
82.3374	50.0000	0.7211
82.4371	50.0000	0.7231
82.5368	50.0000	0.7204
82.6370	50.0000	0.7214
82.7386	50.0000	0.7228
82.8383	50.0000	0.7203
82.9380	50.0000	0.7211
83.0388	50.0000	0.7216
83.1398	50.0000	0.7201
83.2398	50.0000	0.7244
83.3398	50.0000	0.7230
83.4407	50.0000	0.7204
83.5407	50.0000	0.7199
83.6408	50.0000	0.7232
83.7417	50.0000	0.7218
83.8415	50.0000	0.7210
83.9427	50.0000	0.7229
84.0426	50.0000	0.7224
84.1423	50.0000	0.7204
84.2420	50.0000	0.7204
84.3437	50.0000	0.7219
84.4435	50.0000	0.7228
84.5432	50.0000	0.7232
84.6430	50.0000	0.7258
84.7437	50.0000	0.7212
84.8447	50.0000	0.7234
84.9440	50.0000	0.7199
85.0439	50.0000	0.7216
85.1446	50.0000	0.7214
85.2444	50.0000	0.7232
85.3443	50.0000	0.7203
85.4440	50.0000	0.7211
85.5451	50.0000	0.7222
85.6450	50.0000	0.7252
85.7461	50.0000	0.7233
