27/11/2023 10:22:30 am
Time(s)	Displacement(mm) Force(N)
35.6722	50.0000	-0.3465
35.7722	50.0000	-0.3472
35.8722	50.0000	-0.3445
35.9722	50.0000	-0.3522
36.0723	50.0000	-0.3424
36.1719	50.0000	-0.3478
36.2725	50.0000	-0.3469
36.3724	50.0000	-0.3395
36.4719	50.0000	-0.3470
36.5736	50.0000	-0.3474
36.6731	50.0000	-0.3416
36.7731	50.0000	-0.3488
36.8741	50.0000	-0.3492
36.9745	50.0000	-0.3451
37.0742	50.0000	-0.3424
37.1758	50.0000	-0.3510
37.2754	50.0000	-0.3375
37.3766	50.0000	-0.3533
37.4765	50.0000	-0.3427
37.5768	50.0000	-0.3466
37.6759	50.0000	-0.3514
37.7761	50.0000	-0.3431
37.8762	50.0000	-0.3509
37.9762	50.0000	-0.3453
38.0776	50.0000	-0.3488
38.1770	50.0000	-0.3454
38.2776	50.0000	-0.3426
38.3770	50.0000	-0.3446
38.4778	50.0000	-0.3478
38.5776	50.0000	-0.3424
38.6774	50.0000	-0.3483
38.7775	50.0000	-0.3484
38.8772	50.0000	-0.3501
38.9772	50.0000	-0.3388
39.0775	50.0000	-0.3487
39.1775	50.0000	-0.3469
39.2775	50.0000	-0.3424
39.3772	50.0000	-0.3458
39.4777	50.0000	-0.3467
39.5775	50.0000	-0.3450
39.6776	50.0000	-0.3473
39.7774	50.0000	-0.3428
39.8780	50.0000	-0.3478
39.9789	50.0000	-0.3435
40.0793	50.0000	-0.3427
40.1791	50.0000	-0.3451
40.2798	50.0000	-0.3488
40.3792	50.0000	-0.3411
40.4795	50.0000	-0.3459
40.5802	50.0000	-0.3434
40.6819	50.0000	-0.3429
40.7822	50.0000	-0.3440
40.8820	50.0000	-0.3479
40.9819	50.0000	-0.3462
41.0822	50.0000	-0.3397
41.1821	50.0000	-0.3443
41.2821	50.0000	-0.3471
